Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2,Steven Adams\adamsst01,C,27,NOP,58,58,1605,189,308,0.6136363636363636,0,3,0.0,189,305,0.6196721311475409,0.6136363636363636,60,135,0.4444444444444444,213,301,514,111,54,38,78,113,438
3,Bam Adebayo\adebaba01,C,23,MIA,64,64,2143,456,800,0.57,2,8,0.25,454,792,0.5732323232323232,0.57125,283,354,0.7994350282485876,142,431,573,346,75,66,169,145,1197
4,LaMarcus Aldridge\aldrila01,C,35,TOT,52,46,1348,280,592,0.47297297297297297,62,160,0.3875,218,432,0.5046296296296297,0.5253378378378378,82,94,0.8723404255319149,38,198,236,98,22,58,54,94,704
8,Jarrett Allen\allenja01,C,22,TOT,126,90,3728,596,964,0.6182572614107884,12,38,0.3157894736842105,584,926,0.6306695464362851,0.6244813278008299,408,580,0.7034482758620689,392,870,1262,212,64,180,200,192,1612
21,Deandre Ayton\aytonde01,C,22,PHO,69,69,2115,430,687,0.6259097525473072,4,20,0.2,426,667,0.638680659670165,0.62882096069869,133,173,0.7687861271676301,228,499,727,99,41,81,103,196,997
22,Udoka Azubuike\azubuud01,C,21,UTA,15,0,57,4,9,0.4444444444444444,0,0,nan,4,9,0.4444444444444444,0.4444444444444444,8,10,0.8,4,9,13,0,1,4,3,9,16
27,Mo Bamba\bambamo01,C,22,ORL,46,5,725,142,301,0.4717607973421927,38,118,0.3220338983050847,104,183,0.5683060109289617,0.5348837209302325,45,66,0.6818181818181818,76,189,265,35,14,58,36,87,367
34,Aron Baynes\baynear01,C,34,TOR,53,31,980,134,304,0.4407894736842105,27,103,0.2621359223300971,107,201,0.5323383084577115,0.48519736842105265,29,41,0.7073170731707317,87,186,273,47,17,23,46,119,324
39,Jordan Bell\belljo01,C,26,TOT,12,2,164,14,44,0.3181818181818182,0,4,0.0,14,40,0.35,0.3181818181818182,2,4,0.5,14,34,48,14,6,10,8,14,30
45,Khem Birch\birchkh01,C,28,TOT,134,44,3058,378,760,0.49736842105263157,26,104,0.25,352,656,0.5365853658536586,0.5144736842105263,182,258,0.7054263565891473,348,426,774,178,96,100,88,226,964
46,Goga Bitadze\bitadgo01,C,21,IND,45,3,561,83,194,0.42783505154639173,20,79,0.25316455696202533,63,115,0.5478260869565217,0.4793814432989691,45,61,0.7377049180327869,60,90,150,37,9,60,17,94,231
47,Bismack Biyombo\biyombi01,C,28,CHO,66,36,1349,142,242,0.5867768595041323,0,1,0.0,142,241,0.5892116182572614,0.5867768595041323,47,105,0.44761904761904764,137,210,347,81,17,74,71,141,331
54,Marques Bolden\boldema01,C,22,CLE,6,0,29,1,3,0.3333333333333333,0,0,nan,1,3,0.3333333333333333,0.3333333333333333,5,8,0.625,3,3,6,0,2,2,2,0,7
58,Chris Boucher\bouchch01,C,28,TOR,60,14,1453,288,560,0.5142857142857142,90,235,0.3829787234042553,198,325,0.6092307692307692,0.5946428571428571,152,193,0.7875647668393783,117,287,404,63,35,111,46,166,818
61,Tony Bradley\bradlto01,C,23,TOT,84,16,1368,262,394,0.6649746192893401,0,6,0.0,262,388,0.6752577319587629,0.6649746192893401,76,110,0.6909090909090909,170,308,478,74,30,60,66,122,600
66,Amida Brimah\brimaam01,C,26,IND,5,0,29,5,8,0.625,0,0,nan,5,8,0.625,0.625,3,3,1.0,2,6,8,1,0,5,4,4,13
74,Moses Brown\brownmo01,C,21,OKC,43,32,920,146,268,0.5447761194029851,0,0,nan,146,268,0.5447761194029851,0.5447761194029851,78,126,0.6190476190476191,154,229,383,10,31,47,43,93,370
79,Thomas Bryant\bryanth01,C,23,WAS,10,10,271,59,91,0.6483516483516484,9,21,0.42857142857142855,50,70,0.7142857142857143,0.6978021978021978,16,24,0.6666666666666666,18,43,61,15,4,8,11,31,143
90,Clint Capela\capelca01,C,26,ATL,63,63,1898,413,695,0.5942446043165468,0,0,nan,413,695,0.5942446043165468,0.5942446043165468,130,227,0.5726872246696035,297,606,903,49,44,129,73,145,956
91,Vernon Carey Jr.\careyve01,C,19,CHO,19,4,115,18,36,0.5,1,7,0.14285714285714285,17,29,0.5862068965517241,0.5138888888888888,9,11,0.8181818181818182,6,21,27,2,1,5,5,13,46
93,Wendell Carter Jr.\cartewe01,C,21,TOT,108,88,2750,460,914,0.5032822757111597,30,102,0.29411764705882354,430,812,0.5295566502463054,0.5196936542669585,262,358,0.7318435754189944,264,622,886,208,70,84,156,292,1212
96,Willie Cauley-Stein\caulewi01,C,27,DAL,53,16,906,115,182,0.6318681318681318,1,11,0.09090909090909091,114,171,0.6666666666666666,0.6346153846153846,49,78,0.6282051282051282,66,170,236,35,21,43,29,129,280
102,Nic Claxton\claxtni01,C,21,BRK,32,1,594,90,145,0.6206896551724138,1,5,0.2,89,140,0.6357142857142857,0.6241379310344828,31,64,0.484375,43,123,166,28,23,40,18,68,212
109,DeMarcus Cousins\couside01,C,30,TOT,82,22,1426,260,610,0.4262295081967213,94,270,0.34814814814814815,166,340,0.48823529411764705,0.5032786885245901,118,162,0.7283950617283951,106,420,526,152,68,48,128,214,732
118,Ed Davis\davised01,C,31,MIN,23,7,299,19,44,0.4318181818181818,0,0,nan,19,44,0.4318181818181818,0.4318181818181818,10,12,0.8333333333333334,46,69,115,21,13,13,7,56,48
121,Dewayne Dedmon\dedmode01,C,31,MIA,16,0,210,46,65,0.7076923076923077,1,5,0.2,45,60,0.75,0.7153846153846154,20,27,0.7407407407407407,28,58,86,12,9,6,13,36,113
126,Gorgui Dieng\dienggo01,C,31,TOT,76,2,1104,170,326,0.5214723926380368,60,140,0.42857142857142855,110,186,0.5913978494623656,0.6134969325153374,116,134,0.8656716417910447,80,200,280,96,52,32,64,112,516
136,Andre Drummond\drumman01,C,27,TOT,92,92,2484,564,1144,0.493006993006993,0,16,0.0,564,1128,0.5,0.493006993006993,246,410,0.6,332,770,1102,188,126,98,248,298,1374
145,Joel Embiid\embiijo01,C,26,PHI,51,51,1585,461,899,0.5127919911012235,58,154,0.37662337662337664,403,745,0.5409395973154363,0.5450500556173526,471,548,0.8594890510948905,113,426,539,145,50,69,159,123,1451
147,Drew Eubanks\eubandr01,C,23,SAS,54,3,755,116,205,0.5658536585365853,2,2,1.0,114,203,0.5615763546798029,0.5707317073170731,77,106,0.7264150943396226,74,167,241,42,18,49,45,88,311
149,Tacko Fall\fallta01,C,25,BOS,19,0,136,21,29,0.7241379310344828,0,0,nan,21,29,0.7241379310344828,0.7241379310344828,5,15,0.3333333333333333,16,36,52,3,1,20,6,22,47
150,Derrick Favors\favorde01,C,29,UTA,68,0,1039,155,243,0.6378600823045267,0,2,0.0,155,241,0.6431535269709544,0.6378600823045267,59,80,0.7375,138,238,376,44,32,68,36,143,369
151,Cristiano Felício\feliccr01,C,28,CHI,18,0,84,7,13,0.5384615384615384,0,2,0.0,7,11,0.6363636363636364,0.5384615384615384,9,16,0.5625,10,16,26,9,4,0,4,10,23
153,Bruno Fernando\fernabr01,C,22,ATL,33,0,226,18,44,0.4090909090909091,0,2,0.0,18,42,0.42857142857142855,0.4090909090909091,15,22,0.6818181818181818,16,62,78,10,4,3,21,23,51
164,Enes Freedom\kanteen01,C,28,POR,72,35,1758,339,561,0.6042780748663101,1,4,0.25,338,557,0.6068222621184919,0.6051693404634582,127,164,0.774390243902439,284,511,795,84,33,48,78,168,806
171,Marc Gasol\gasolma01,C,36,LAL,52,42,993,88,194,0.4536082474226804,50,122,0.4098360655737705,38,72,0.5277777777777778,0.5824742268041238,36,50,0.72,38,177,215,109,26,58,53,115,262
174,Taj Gibson\gibsota01,C,35,NYK,45,3,936,99,158,0.6265822784810127,3,15,0.2,96,143,0.6713286713286714,0.6360759493670886,40,55,0.7272727272727273,99,151,250,36,31,49,22,99,241
175,Harry Giles\gilesha01,C,22,POR,38,0,348,42,97,0.4329896907216495,8,23,0.34782608695652173,34,74,0.4594594594594595,0.4742268041237113,16,27,0.5925925925925926,31,102,133,29,8,13,20,54,108
179,Rudy Gobert\goberru01,C,28,UTA,71,71,2187,391,579,0.6753022452504318,0,4,0.0,391,575,0.68,0.6753022452504318,233,374,0.6229946524064172,240,720,960,89,40,190,118,163,1015
