Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jaylen Adams\adamsja01,PG,24,MIL,7,0,18,1,8,0.125,0,2,0.0,1,6,0.16666666666666666,0.125,0,0,nan,0,3,3,2,0,0,0,1,2
15,Cole Anthony\anthoco01,PG,20,ORL,47,34,1273,219,552,0.3967391304347826,58,172,0.3372093023255814,161,380,0.4236842105263158,0.4492753623188406,109,131,0.8320610687022901,38,183,221,192,30,18,106,98,605
17,Ryan Arcidiacono\arcidry01,PG,26,CHI,44,0,450,49,117,0.4188034188034188,25,67,0.373134328358209,24,50,0.48,0.5256410256410257,13,20,0.65,5,62,67,56,9,0,10,47,136
19,D.J. Augustin\augusdj01,PG,33,TOT,114,24,2258,270,686,0.3935860058309038,166,434,0.3824884792626728,104,252,0.4126984126984127,0.5145772594752187,170,188,0.9042553191489362,40,148,188,376,56,2,130,112,876
25,LaMelo Ball\ballla01,PG,19,CHO,51,31,1469,293,672,0.43601190476190477,92,261,0.3524904214559387,201,411,0.48905109489051096,0.5044642857142857,125,165,0.7575757575757576,63,239,302,313,81,18,145,136,803
26,Lonzo Ball\balllo01,PG,23,NOP,55,55,1747,290,700,0.4142857142857143,172,455,0.378021978021978,118,245,0.4816326530612245,0.5371428571428571,50,64,0.78125,33,230,263,316,82,31,123,103,802
42,Patrick Beverley\beverpa01,PG,32,LAC,37,34,832,93,220,0.42272727272727273,56,141,0.3971631205673759,37,79,0.46835443037974683,0.55,36,45,0.8,29,90,119,76,29,28,34,108,278
55,Jordan Bone\bonejo01,PG,23,ORL,14,0,196,23,54,0.42592592592592593,10,32,0.3125,13,22,0.5909090909090909,0.5185185185185185,0,0,nan,4,20,24,18,2,0,3,11,56
68,Malcolm Brogdon\brogdma01,PG,28,IND,56,56,1930,444,980,0.4530612244897959,145,374,0.3877005347593583,299,606,0.4933993399339934,0.5270408163265307,153,177,0.864406779661017,58,236,294,329,49,15,115,110,1186
71,Bruce Brown\brownbr01,PG,24,BRK,65,37,1451,235,423,0.5555555555555556,17,59,0.288135593220339,218,364,0.5989010989010989,0.5756501182033097,86,117,0.7350427350427351,111,238,349,104,58,28,54,145,573
77,Jalen Brunson\brunsja01,PG,24,DAL,68,12,1697,328,627,0.5231259968102073,81,200,0.405,247,427,0.5784543325526932,0.5877192982456141,120,151,0.7947019867549668,27,204,231,239,35,1,80,109,857
81,Trey Burke\burketr01,PG,28,DAL,62,1,911,151,353,0.42776203966005666,58,164,0.35365853658536583,93,189,0.49206349206349204,0.509915014164306,51,57,0.8947368421052632,10,44,54,81,36,7,33,64,411
87,Facundo Campazzo\campafa01,PG,29,DEN,65,19,1425,120,315,0.38095238095238093,76,216,0.35185185185185186,44,99,0.4444444444444444,0.5015873015873016,80,91,0.8791208791208791,22,112,134,232,79,14,73,132,396
89,Devin Cannady\cannade01,PG,24,ORL,8,0,74,11,28,0.39285714285714285,6,16,0.375,5,12,0.4166666666666667,0.5,6,7,0.8571428571428571,0,5,5,1,5,1,2,9,34
