Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
13,Thanasis Antetokounmpo\antetth01,SF,28,MIL,57,3,551,67,137,0.48905109489051096,7,29,0.2413793103448276,60,108,0.5555555555555556,0.5145985401459854,25,49,0.5102040816326531,54,70,124,46,22,10,43,74,166
16,OG Anunoby\anunoog01,SF,23,TOR,43,43,1433,249,519,0.4797687861271676,104,261,0.39846743295019155,145,258,0.562015503875969,0.5799614643545279,80,102,0.7843137254901961,54,183,237,94,66,32,75,114,682
18,Trevor Ariza\arizatr01,SF,35,MIA,30,27,841,99,241,0.4107883817427386,50,143,0.34965034965034963,49,98,0.5,0.5145228215767634,34,44,0.7727272727272727,27,117,144,55,31,18,21,55,282
20,Deni Avdija\avdijde01,SF,20,WAS,54,32,1257,130,312,0.4166666666666667,53,168,0.31547619047619047,77,144,0.5347222222222222,0.5016025641025641,29,45,0.6444444444444445,22,240,262,63,32,15,33,140,342
31,Will Barton\bartowi01,SF,30,DEN,56,52,1736,259,608,0.42598684210526316,98,257,0.38132295719844356,161,351,0.4586894586894587,0.506578947368421,95,121,0.7851239669421488,39,187,226,181,50,23,96,95,711
32,Keita Bates-Diop\bateske01,SF,25,SAS,30,0,245,30,67,0.44776119402985076,5,17,0.29411764705882354,25,50,0.5,0.48507462686567165,14,21,0.6666666666666666,9,40,49,12,11,5,7,11,79
33,Nicolas Batum\batumni01,SF,32,LAC,67,38,1835,191,412,0.46359223300970875,110,272,0.40441176470588236,81,140,0.5785714285714286,0.5970873786407767,48,58,0.8275862068965517,50,266,316,148,69,37,53,102,540
35,Kent Bazemore\bazemke01,SF,31,GSW,67,18,1333,176,392,0.4489795918367347,75,184,0.4076086956521739,101,208,0.4855769230769231,0.5446428571428571,54,78,0.6923076923076923,26,203,229,108,69,33,82,158,481
40,DeAndre' Bembry\bembrde01,SF,26,TOR,51,12,972,117,228,0.5131578947368421,14,53,0.2641509433962264,103,175,0.5885714285714285,0.543859649122807,45,66,0.6818181818181818,33,113,146,107,53,18,71,87,293
43,Saddiq Bey\beysa01,SF,21,DET,70,53,1909,279,691,0.4037626628075253,175,460,0.3804347826086957,104,231,0.45021645021645024,0.5303907380607815,124,147,0.8435374149659864,43,275,318,95,52,14,60,110,857
44,Tyler Bey\beyty01,SF,22,DAL,18,0,71,7,22,0.3181818181818182,1,4,0.25,6,18,0.3333333333333333,0.3409090909090909,3,5,0.6,8,11,19,3,0,1,3,6,18
50,Keljin Blevins\blevike01,SF,25,POR,17,0,75,5,20,0.25,2,8,0.25,3,12,0.25,0.3,0,0,nan,3,7,10,4,2,0,5,8,12
